法條名稱,法條編號,法條內容
交通事業人員實習及試用辦法,第 2 條,交通事業人員經考試及格者，先予實習，升資甄審合格者，先予試用。
交通事業人員實習及試用辦法,第 3 條,實習人員由任用機構按其考試類級資位之職務或工作予以實習，指派與其考試類科有關之單位或富於該類級資位職務學識經驗人員負責指導。試用人員由任用機構以其升資類級資位之職務或工作予以試用。
交通事業人員實習及試用辦法,第 4 條,實習及試用人員，實習或試用期滿成績及格者，以其考試或升資類級資位之職務派任。
交通事業人員實習及試用辦法,第 5 條,實習及試用實施要點，由各業機構按其實際情形，另行訂定，呈准施行。
交通事業人員實習及試用辦法,第 6 條,實習及試用期間之年資，准以服務年資計算。
交通事業人員實習及試用辦法,第 7 條,交通部或主管機關為考察所屬事業機構實習及試用人員實際情形，必要時得派員前往視導。
交通事業人員實習及試用辦法,第 8 條,本辦法自公布日施行。
