法條名稱,法條編號,法條內容
交通部觀光局東部海岸國家風景區管理處所屬景區入園清潔維護費收費標準,第 2 條,本處入園清潔維護費收費景區及收費基準如附表。
交通部觀光局東部海岸國家風景區管理處所屬景區入園清潔維護費收費標準,第 3 條,本標準除附表石梯坪風景區收費自中華民國一百零三年六月三十日施行外，自一百零二年十一月一日施行。本標準中華民國一百零六年十二月二十八日修正之第二條附表，自一百零六年十二月三十日施行。
