法條名稱,法條編號,法條內容
交通部鐵道局國際會議廳場地使用收費標準,第 1 條,本標準依規費法第十條第一項訂定之。
交通部鐵道局國際會議廳場地使用收費標準,第 2 條,交通部鐵道局（以下簡稱本局）所轄二十樓國際會議廳場地及設備提供使用時，應依交通部鐵道局國際會議廳場地使用基準表（如附表）繳納場地使用規費。
交通部鐵道局國際會議廳場地使用收費標準,第 3 條,本標準自中華民國一百十一年一月一日施行。
