法條名稱,法條編號,法條內容
交通部觀光局辦理觀光旅館及旅館等級評鑑收費標準,第 2 條,交通部觀光局辦理觀光旅館及旅館等級評鑑時，應就評鑑項目依下列基準收取評鑑費：一、一星級至三星級評鑑費，新臺幣三萬六千元。二、四星級以上評鑑費，新臺幣八萬六千元。
交通部觀光局辦理觀光旅館及旅館等級評鑑收費標準,第 3 條,交通部觀光局核發觀光旅館及旅館等級評鑑標識，應收取標識費新臺幣三千元。
交通部觀光局辦理觀光旅館及旅館等級評鑑收費標準,第 4 條,本標準自中華民國一百十一年七月一日施行。
