法條名稱,法條編號,法條內容
交通部公路局工程材料技術所組織規程,第 2 條,本所掌理下列事項：一、公路工程機關委外試驗機構之審核。二、公路工程規劃設計之地質調查、結構材料配比設計、測定與檢驗試驗及品質管理。三、公路工程規劃設計之路基土壤調查、路面材料配比設計、測定與檢驗試驗及品質管理。四、路面管理資料基本調查、工程技術與材料之蒐集、推廣、訓練及資訊管理維護。五、其他有關工程材料技術事項。
交通部公路局工程材料技術所組織規程,第 3 條,本所置所長一人，職務列簡任第十職等至第十一職等；副所長一人，職務列薦任第九職等至簡任第十職等。
交通部公路局工程材料技術所組織規程,第 4 條,本所各職稱之官等職等及員額，另以編制表定之。各職稱之官等職等，依職務列等表之規定。
交通部公路局工程材料技術所組織規程,第 5 條,本規程自中華民國一百十二年九月十五日施行。
