法條名稱,法條編號,法條內容
交通部所屬公營事業機構對經營政策負有主要決策責任者以外人員經商兼職辦法,第 2 條,本辦法適用於交通部所屬公營事業機構對經營政策負有主要決策責任者以外之公務員兼具勞工身分者。
交通部所屬公營事業機構對經營政策負有主要決策責任者以外人員經商兼職辦法,第 3 條,公務員兼具勞工身分者之經營商業、執行業務及兼課、兼職之範圍、限制、程序等相關事項依照本法第十四條及第十五條規定辦理。
交通部所屬公營事業機構對經營政策負有主要決策責任者以外人員經商兼職辦法,第 4 條,本辦法自發布日施行。
